Addrcity,Addrfull,Amenity,Building,Capacitype,Name,Operatorty,Osm Id,School Level,Source,Geometry
NTC,,school,,,Kabale National Teachers College,,293906765,Other,www.ubos.org,Point
Nalufenya A,,school,,,Jinja Modern Secondary School,private,293999741,Secondary,www.ubos.org,Point
,,school,,,Rubaga Girls Secondary School,,294016125,Secondary,,Point
,,school,,,Queen of Peace Primary School,,294016128,Primary,,Point
,,school,,,Busega Primary School,,294017594,Primary,,Point
,,kindergarten,,,Kampala Nursery Day Care,,294023865,Kindergarten,,Point
,,kindergarten,,,Jengo Pre-school Day Care,,294027076,Kindergarten,,Point
,,school,,,Sir Apollo Kaggwa School,,294027202,Other,,Point
Nakhamosi,,school,,,Nalwanza Secondary School,private,542570650,Secondary,www.ubos.org,Point
Bududa Township,,school,,,Bududa Secondary School,public,542570658,Secondary,www.ubos.org,Point
,,school,,,Trinity Integrated Academy,,542570660,Other,,Point
North Road Cell,,school,,,North Road Primary School,,560542959,Primary,www.ubos.org,Point
,,school,,,Mbale Senior Secondary School,,560542962,Secondary,www.ubos.org,Point
,,college,,,"Institute of Management, Science and Technology",,560551841,Other,,Point
Mbale,,school,,,Datwins Daycare And Nursery School,,560551844,Kindergarten,,Point
,,school,,,Bugema High School,,560557034,Secondary,,Point
Elgon Utc,,college,,,Mount Elgon Labour-Based College,,562642516,Other,www.ubos.org,Point
,,college,,,Uganda Technical College Elgon,,562642567,Other,,Point
,,school,,,Namapo Secondary School,,562728986,Secondary,,Point
,,school,,,Buhugu Secondary School,,562728999,Secondary,,Point
,,college,public,,Countryside Vocational Institute,,563091310,Vocational,,Point
Shiyatsa,,school,,,Mulatsi Secondary School,,563093797,Secondary,www.ubos.org,Point
,,school,,,Matese Secondary School,,563094195,Secondary,,Point
,,school,,,Buwagogo Secondary School,,563102969,Secondary,,Point
,,kindergarten,,,Aga Khan Nursery School Kololo,,582857061,Kindergarten,,Point
Lulikoyo,,school,,,Kimbilio Boarding Primary School,private,592174751,Primary,www.ubos.org,Point
,,school,,,Namugongo Secondary Vocational School,,592250110,Secondary,,Point
,,school,,,,,598134684,Other,,Point
,,school,,,Peral African Nusery & Primary School,,598134723,Primary,,Point
,,school,,,Adventist,,601430582,Other,,Point
,,school,,,Butabika School of Psychiatric Nursing,,601431681,Other,,Point
,,school,,,,,601431687,Other,,Point
,,school,,,294,,601440647,Other,,Point
,,school,,,Mutungo Adult Education Center,,601440666,Other,,Point
,,school,,,Mutungo Parents School,,601447521,Other,,Point
,,school,,,Elyon Kindergarten & Primary School,,601447528,Primary,,Point
,,school,,,310,,601447564,Other,,Point
,,school,,,Matamba Acadamey,,601455869,Other,,Point
,,school,,,Mubya C/U Primary School,,605253862,Primary,,Point
,,school,,,,,606391737,Other,,Point
,,kindergarten,,,Bubbles Day Care,,606671432,Kindergarten,,Point
,,school,,,Clovers School,,606671883,Other,,Point
,,school,,,,,606671981,Other,,Point
,,school,,,Nakawa Vocational Training Institute,,606674426,Vocational,,Point
,,school,,,,,606756122,Other,,Point
,,school,,,Fairway Primary School,,606756670,Primary,,Point
,,school,,,Mubya Nursery School,,606846820,Kindergarten,,Point
Kampala,,school,,,KISSYFUR Kindergarten,,606953341,Kindergarten,,Point
,,school,,,Montessori School,,606953343,Other,,Point
,,school,,,Muyenga Nursery School,,607973041,Kindergarten,,Point
,,school,,,Cornerstone Parents School,,607973044,Other,,Point
,,school,,,Kansanga Senior Secondary School,,607973215,Secondary,,Point
,,school,,,Biotech Nursery and Primary School,,609005143,Primary,,Point
,,school,,,Ambrosoli International School,,609005332,Other,,Point
Kampala,,school,,,Kololo Senior Secondary School,,610233403,Secondary,,Point
,,kindergarten,,,,,610302528,Other,,Point
,,kindergarten,,,Lady Bug Daycare,,610337893,Kindergarten,,Point
,,school,,,Kisuule Primary School,,610916417,Primary,,Point
,,school,,,Luzria Hill Parent School,,610938944,Other,,Point
,,kindergarten,,,,,610939075,Other,,Point
,,school,,,Lakeside College - Luzira,,610939115,Other,,Point
,,school,,,Progressive Junior School,,610939290,Secondary,,Point
,,school,,,Happy Hour Infant School,,610939327,Kindergarten,,Point
,,kindergarten,,,Dade Nursery School,,610939419,Kindergarten,,Point
,,school,,,Progressive S.S. Kitintale,,610939425,Other,,Point
,,school,,,Ntinda Nursery School,,611746919,Kindergarten,,Point
,,kindergarten,,,Eagle Wing Daycare,,613003391,Kindergarten,,Point
,,school,,,Senteza Primary,,613003397,Primary,,Point
,,school,,,Parriet Prep School,,613003494,Other,,Point
,,school,,,Law & Joy Primary School - Kitintale,,613003520,Primary,,Point
,,school,,,St. Johns Junior School,,613003527,Secondary,,Point
,,kindergarten,,,Cuddles Daycare,,613003538,Kindergarten,,Point
,,school,,,Greenhill Academy,,613003713,Other,,Point
,,school,,,Freshmind Junior School,,615341353,Secondary,,Point
,,school,,,Montessori Integrated School,,616201874,Other,,Point
,,school,,,Lady Sarah Modified Primary School,,616288168,Primary,,Point
,,school,,,Prime Educare Centre Ntinda,,616319621,Other,,Point
,,school,,,Mother Goose Nursery & Pre-School,,616319641,Kindergarten,,Point
,,school,,,Mother Goose Daycare,,616319654,Kindergarten,,Point
,,kindergarten,,,Comfort Nursery School,,616348967,Kindergarten,,Point
,,school,,,St. Paul's Kindergarten Ntinda,,619331115,Kindergarten,,Point
,,school,,,Nakinyuguzi High School,,639104971,Secondary,,Point
,,school,,,Kampala Pupils Primary School,,639104975,Primary,,Point
,,school,,,St. Catherine's College,,639104978,Other,,Point
,,school,,,Teletubbies Nursery & Primary,,639120098,Primary,,Point
,,school,,,Konge Parent Day & Boarding Primary School,,639120100,Primary,,Point
Entebbe,,school,,,DOT ECB Centre & Junior School,,659663389,Secondary,,Point
,,school,,,Sparkling Star Early Learning Center,,662373335,Other,,Point
Entebbe,,school,,,Lake Victoria School,,662872587,Other,,Point
,,school,,,KITS school of Modern Techniques,,665764710,Other,,Point
,,school,,,Jenfrey Nursery and Daycare Centre,,665764719,Kindergarten,,Point
,,school,,,Stagnes Primary School,,667888910,Primary,,Point
Entebbe,,school,,,Sacred Heart Bugonga Primary School,,667888921,Primary,,Point
Entebbe,,school,,,Ma Peera Nursery & Primary School,,667888926,Primary,,Point
Entebbe,,school,,,Mary Reparatrix Boarding School,,668725700,Other,,Point
Entebbe,,school,,,Chadwick Namate Primary School,,674103227,Primary,,Point
,,school,,,Engineering Management Institute,,675603348,Other,,Point
,,school,,,Daycare Cntr,,729785016,Kindergarten,,Point
,,school,,,Walanga F.Y.M. Primary School,,803881855,Primary,,Point
,,school,,,Chepkube A.C.K. Primary School,,803881863,Primary,,Point
,,school,,,Kamosong S.A. Primary School,,803881872,Primary,,Point
,,school,,,The S.A. Chepkube Primary School,,803881877,Primary,,Point
,,school,,,Kapsesoi S.A. Primary School,,803881888,Primary,,Point
,,school,,,Kimaswa S.A. Primary School,,803881889,Primary,,Point
,,school,,,Kaprot D.E.B. Primary School,,803881906,Primary,,Point
,,school,,,Nalondo S.A. Primary School,,803881910,Primary,,Point
,,school,,,Cheptais S.D.A. Primary School,,803881966,Primary,,Point
,,school,,,Peresten A.C.K. Primary School,,803881967,Primary,,Point
,,school,,,The Salvation Army Cheptais Corps Primary School,,803881968,Primary,,Point
,,school,,,Marigo S.D.A. Primary School,,803881988,Primary,,Point
,,school,,,Kipsis S.A. Primary School,,803881989,Primary,,Point
,,school,,,Cheptiya S.D.A. Primary School,,803881999,Primary,,Point
,,school,,,Chesiro S.A. Primary School,,803882000,Primary,,Point
,,school,,,Chemuses R.C. Primary School,,803882001,Primary,,Point
,,school,,,Chebwek S.A. Primary School,,803882002,Primary,,Point
,,school,,,Kuborom Trading Center,,803882003,Other,,Point
,,school,,,Kansanga Hill Primary School,,825843794,Primary,,Point
Kolonyi Salem A,,school,,,Kolonyi Primary School,,938641744,Primary,www.ubos.org,Point
,,school,,,Kisubi High School,,1014756640,Secondary,,Point
,,school,,,Creamland High School,,1014795815,Secondary,,Point
,,school,,,Highland Infant School,,1014800511,Kindergarten,,Point
,,school,,,,,1014800516,Other,,Point
,,school,,,Dawn Prime Academy,,1014800517,Other,,Point
,,school,,,Girls School,,1014800604,Other,,Point
,,school,,,Kira High school,,1014800845,Other,,Point
Jinja,,kindergarten,,,Amani Baby Cottage,,1014802535,Other,,Point
,,school,,,Aryan School,,1014802547,Other,,Point
Kabwangasi,,college,,,Kabwangasi Primary Teachers College,,1085357008,Primary,,Point
Nakaloke Central B,,school,,,Masaba Primary School,,1085429688,Primary,www.ubos.org,Point
,,college,,,Salem School of Nursing,,1085436226,Other,,Point
Mbale,,school,,,Manafwa High School,,1085557863,Secondary,www.ubos.org,Point
North Road Cell,,school,,,Mount Masaba High School,,1097812151,Secondary,www.ubos.org,Point
Uhuru Cell,,school,,,Nkokojeru Primary School,,1097812189,Primary,www.ubos.org,Point
