Id,County,Code,Conventional Households,Main Electricity,Low-Quality Stopgap Total,Kerosene (Total),Paraffin Pressure Lamp,Paraffin Lantern,Paraffin Tin Lamp,Gas Lamp,Wood,Solar (Total),Solar,Torch / Spotlight (Solar-Charged),Torch / Spotlight (Dry Cells)),Candle,Battery (Car-Charged),Generator (Diesel / Petrol),Biogas,Not Stated,Cooking - Electricity,Cooking - Paraffin,Cooking - Gas (LPG),Cooking - Biogas,Cooking - Firewood,Cooking - Charcoal,Cooking - Solar,Cooking - Not Stated,Total Births - 5 Years,Total Births - 12 Months,Percent of Births in Health Facility - 5 Years,Percent of Births in Health Facility - 12 Months,Percent of Births in Non Health Facility - 5 Year,Percent of Births in Non Health Facility - 12 Months,Unknown - 5 Years,Unknown - 12 Months,,Total Households,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Earth/Sand - Floor Material,Dung - Floor Material,Wood Planks/Shingles/Timber - Floor Material,Palm/Bamboo - Floor Material,Parquet or Polished Wood - Floor Material,Vinyl or Asphalt Strips - Floor Material,Ceramic Tiles - Floor Material,Concrete/Cement/Terrazo - Floor Material,Wall to Wall Carpet - Floor Material,Cane/Palm/Trunks - Wall Material,Grass/Reeds - Wall Material,Mud/Cow Dung - Wall Material,Stone with Mud - Wall Material,Covered Adobe - Wall Material,Uncovered Adobe - Wall Material,Plywood/Cardboard - Wall Material,Off Cuts/Reused Wood/Wood Planks - Wall Material,Iron Sheets - Wall Material,Concrete/Concrete Blocks/Precast Wall - Wall Material,Stone with Lime/Cement - Wall Material,Bricks - Wall Material,Canvas/Tents - Wall Material,Nylon/Cartons - Wall Material,Timber - Wall Material,Prefabricated Panels - Wall Material,Grass/Twigs - Roofing,Makuti Thatch - Roofing,Dung /Mud - Roofing,Iron Sheets - Roofing,Tin Cans - Roofing,Asbestos Sheet - Roofing,Concrete/Cement - Roofing,Tiles - Roofing,Canvas/ Tents - Roofing,Decra/Versatile - Roofing,Cartons/Cardboard - Roofing,Shingles - Roofing,Radio,Computer/Tablet,Functional TV,Analogue TV,Internet ,Bicycle,Motorcycle ,Refrigerator,Car,Truck,Tuk Tuk,Phone Ownership,,Households,Main Sewer - Human Waste Disposal,Septic Tank - Human Waste Disposal,Cesspool - Human Waste Disposal,VIP Latrine - Human Waste Disposal,Pit Latrine Covered - Human Waste Disposal,Pit Latrine Uncovered - Human Waste Disposal,Bucket Latrine - Human Waste Disposal,Open/ Bush - Human Waste Disposal,Bio-Septic Tank/Biodigester - Human Waste Disposal,Pond - Drinking Water Source,Dam/Lake - Drinking Water Source,Stream/River - Drinking Water Source,Protected Spring - Drinking Water Source,Unprotected Spring - Drinking Water Source,Protected Well - Drinking Water Source,Unprotected Well - Drinking Water Source,Borehole/Tube Well - Drinking Water Source,Piped into Dwelling - Drinking Water Source,Piped to Yard/Plot - Drinking Water Source,Bottled Water - Drinking Water Source,Rain/Harvested Water - Drinking Water Source,Water Vendor - Drinking Water Source,Public Tap/Standpipe - Drinking Water Source,Total Farming,Exotic Cattle Dairy - Livestock & Fish,Exotic Cattle Beef - Livestock & Fish,Indigenous Cattle - Livestock & Fish,Sheep - Livestock & Fish,Goats - Livestock & Fish,Camels - Livestock & Fish,Donkeys - Livestock & Fish,Pigs - Livestock & Fish,Indigenous Chicken - Livestock & Fish,Exotic Chicken - Livestock & Fish,Beehives - Livestock & Fish,Rabbits - Livestock & Fish,Fish Ponds - Livestock & Fish,Fish Cages - Livestock & Fish,Tea - Permanent Crop Growth,Coffee - Permanent Crop Growth,Avocado - Permanent Crop Growth,Citrus - Permanent Crop Growth,Mango - Permanent Crop Growth,Coconut - Permanent Crop Growth,Macadamia Cashew Nut - Permanent Crop Growth,Khat (Miraa) - Permanent Crop Growth,,Total Disability Percent,Visual Disability Total,Hearing Disability Total,Mobility Disability Total,Cognitive Disability Total,Self-Care Disability Total,Communication Disability Total,Total Population (SPECIFIC TO EMPLOYMENT),Working,Seeking Work,Outside the Labor Force,Not Stated,Average Household Size,Under 18,Over 60,Over 70,Total Population,Under 18 Percent,Over 60 Percent,Over 70 Percent
1,Mombasa,MBA,376295,85.9,12.2,9.5,0.5,2.7,6.3,0.1,0,1.9,1.5,0.4,0.3,2.2,0.1,0,0,0,1.4,32.1,37.6,1.1,4.7,23.2,0,0,131086,37249,93.2,95.1,6.8,4.9,0,0,,378422,3.3,1.9,2.3,0,0.4,0.3,13.1,0.3,0.1,0,0.2,0.1,19.6,62.3,4.1,0,0,5,5.9,4.9,1.2,0.1,0.1,2.2,32.7,38.1,9.7,0,0.1,0,0.1,0.1,0.5,0.3,79.1,0.1,2.1,14.8,1.1,0,0.4,1.2,0.1,47.4,13,57.2,7.1,28.2,12.1,5.5,22,6.8,0.9,1.5,61.8,,378422,16.6,31.2,1.1,11.1,30.8,5.5,2.4,0.9,0.3,0.1,0.2,0.1,1.2,0.1,4.6,0.4,5.2,7.2,5.2,11.4,0.3,43.5,20.5,12497,3015,1384,6252,2292,25411,58,68,3032,115315,37591,894,1343,309,306,0,0,0,0,0,1688,0,0,,1.657117461,5600,2116,5202,2693,2201,2211,743516,56.12885264,18.73665126,25.10625192,0.02824418,3.1,451371,34032,10357,1208303,37.35577914,2.816512083,0.857152552
2,Kwale,KLE,172802,31.5,43,36,0.5,6,29.5,0.2,1.7,25.5,22.8,2.7,3.9,0.9,0.2,0,0,0,0.5,5,8.6,0.4,69.7,15.5,0.2,0,88532,29226,79.9,82.4,20,17.5,0.1,0.1,,173176,62.4,57.8,42,0.1,2.6,1.4,58.6,0.5,0,0,0.1,0,4.4,35.1,1.2,0.4,0.6,46.3,7.7,1.5,0.7,0,0.1,0.9,9.5,27.2,4.7,0,0.1,0.1,0,4,25.4,0.2,68.3,0.1,0.9,0.7,0.1,0,0.2,0.1,0,42.6,4.3,23.1,3.2,9.8,19,10.6,6.2,2.3,0.5,0.7,32.3,,173176,0.9,8.8,0.5,8.7,38.2,9.8,1.2,31.7,0.1,17.2,10.4,3.2,1.3,1.7,10.3,8.3,12.7,4.3,5.5,2.1,1.7,2.9,18.3,108074,10811,6117,293506,90615,382410,1096,1190,675,528984,28394,4272,1183,522,172,0,0,1063,10053,30272,31954,881,0,,2.044065427,3623,2328,4744,2657,2304,2062,412370,72.92140553,10.36860101,16.68259088,0.027402575,5,448395,44104,15910,866802,51.72980681,5.088128546,1.835482613
3,Kilifi,KLF,297990,38.5,39.1,33.4,0.6,6.1,26.7,0.1,1.3,22.4,20,2.4,2.9,1.2,0.2,0,0,0,0.7,7.4,11.1,0.5,58.2,21.9,0.1,0,142800,44519,79,84.6,20.9,15.4,0.1,0.1,,298472,54,50,34.2,0.1,2.1,1.9,54.3,0.3,0.1,0,0.1,0.1,5.6,38.3,1.1,0.4,0.6,38.8,10.2,1.6,0.8,0,0.1,0.9,16,19.8,10.4,0.1,0.1,0.1,0,2.1,20.5,0.2,71.6,0.1,1.1,3.4,0.4,0.1,0.2,0.2,0,37.8,5.5,25.9,2.9,11.6,15.3,10.4,8.1,2.8,0.5,0.9,68.3,,298472,2.4,18.7,0.6,10.1,40.1,9.2,1.8,17,0.1,6,6.8,2.6,0.8,0.6,4.4,3.5,4,10.2,13.2,2,0.4,9.6,36,161188,19918,9646,206893,56481,542257,2022,2754,3319,740657,75103,4603,3434,1756,193,0,0,0,6808,37519,47561,0,0,,1.971712013,6353,3569,7746,4075,3647,3274,723400,69.86950511,10.4337849,19.67403926,0.022670722,4.8,721922,76794,29104,1453762,49.65888502,5.28243275,2.001978316
4,Tana River,TAN,66984,25.6,41.4,9.7,0.2,2.4,7.1,0.5,6.8,33,20.9,12.1,21.7,2.3,0.3,0.1,0,0.1,0.9,0.9,2.4,0.3,63.5,31.5,0.5,0.1,33100,11683,55.8,57.5,44,42.4,0.2,0.1,,68242,51.4,24.5,39.6,0.3,3.1,6.6,75.2,0.8,0.3,0.2,0.1,0.1,1.8,20.3,1.1,1.8,21.6,38,14.1,1,0.4,0.1,0.5,2,8.5,5.8,4.3,1.1,0.7,0.2,0,33.5,8.8,1.1,52.9,0.1,0.5,0.6,0.1,1.3,0,0.9,0,28.4,2.7,15.3,2.3,5.5,9.6,9.7,3.7,1.6,0.4,0.5,31.6,,68242,0.8,4,0.5,4.6,31.7,9,0.6,48.6,0.2,2.6,9.8,19.5,1.1,0.5,9.8,7.5,22.1,2.9,7.8,0.4,0.1,5.1,10.8,35094,6266,1194,264373,448066,590856,53298,15317,19,91344,6614,10902,242,438,108,0,0,0,1109,6561,2228,0,0,,1.90541905,1341,860,1513,877,834,595,141164,62.53364881,17.14176419,20.27004052,0.054546485,4.6,173924,13199,4762,315941,55.04951874,4.177678744,1.507243441
5,Lamu,LAU,34231,43.2,22.7,11,0.2,3.6,7.2,0.1,1.4,34.1,28.3,5.8,8.3,1.4,0.2,0.2,0,0,0.7,1.6,9,0.5,60.6,27.3,0.3,0,13514,4235,78.3,82.1,21.6,17.9,0,0,,37963,49.2,40,35.4,0.2,8.3,2.9,51.3,0.7,0.1,0,0,0,4.7,40.3,2.9,2.1,1.9,40.8,11.6,2.8,0.8,0.1,0.2,1.4,15.6,14.1,7,0.4,0.7,0.3,0.1,9,19,0.3,55.6,0,1.2,13.7,0,0.4,0.1,0.6,0,37.3,4.2,30.8,3.7,11.8,28.5,15.7,8.6,1.4,0.4,0.4,45.2,,37963,2.1,9.4,0.7,11.5,42.8,14,1.4,17.9,0.1,4.2,1.8,1.1,1.4,0.5,17.3,16.6,7,8.4,3.7,2.5,10.2,7,18.3,18678,12415,1618,84288,42145,97879,125,1964,280,128599,11913,1402,292,407,217,0,0,0,2742,7423,5017,189,0,,2.481308541,866,395,931,622,427,330,77028,72.56582022,8.551435842,18.84249883,0.040245106,3.7,65462,7740,2848,143916,45.48625587,5.378137247,1.978932155
6,Taita/Taveta,TVT,94468,47.6,25.2,20.6,0.3,10.7,9.6,0,0.2,27.2,24.4,2.8,2.8,1.2,0.1,0,0,0,0.4,6.8,14.2,0.4,55.4,22.7,0.1,0,31531,9110,90.1,91.5,9.8,8.5,0,0,,96429,59,50.2,45.1,0.3,0.7,10.6,38.8,0.2,0,0,0.1,0,6.8,53,1,0.2,0.1,19.6,5.5,16.2,7.1,0.1,0.2,2.7,11.5,7.9,28.6,0.1,0.1,0.1,0.1,0.9,0.3,0.2,94.9,0.3,1.5,1,0.3,0,0.3,0.1,0.1,55.9,6.3,38.6,4.5,15.9,18.6,15.2,6.7,3.5,0.7,0.5,54.9,,96429,1.1,11.2,0.2,13.8,58.7,12.1,0.3,2.4,0.1,0.2,1.3,15.4,3.6,1.9,1.9,1,5.1,12,24.1,0.4,1.3,11.4,20.3,56920,17236,6661,90917,46535,202113,2630,2938,1605,332843,25086,10345,10122,1068,140,0,0,7963,3284,7171,2504,3650,0,,3.720087828,2809,1332,3501,2290,1556,1185,198263,79.40160292,7.844126236,12.73056496,0.023705886,3.5,137926,26360,10771,340664,40.48740108,7.73782965,3.161766433
7,Garissa,GSA,138940,23.5,52.9,2.4,0.2,0.7,1.5,2.8,11.9,23.6,12.7,10.9,32.1,1.4,0.2,2,0.1,0,4.7,0.7,1.5,0.7,71.7,19.4,1.3,0,61844,16414,56.3,63.6,41.3,33.9,2.3,2.5,,141394,33.7,3.1,32.6,1.4,1,1.3,68.2,3.4,2.2,0.9,0.7,0.5,3.2,18.9,1.9,5.8,29.2,13.5,12,2.6,0.7,0.3,0.6,14.1,7.3,6.3,6.6,0.1,0.1,0.8,0,33.9,2.2,4.6,53,0.8,1.2,3.1,0.4,0.2,0.1,0.3,0,47.8,2.6,12.9,2.2,6.3,3.5,3.2,6,4.1,1.4,2.3,30.3,,141394,5.2,4.9,0.7,3.6,29.7,16.7,2.9,36.2,0.2,12.6,17.9,8.8,0.9,0.5,2.4,3.4,26.3,3.4,8.6,0.5,0.4,3.1,11.2,47645,6063,7458,1407170,2746577,3857292,816057,105543,0,88360,24196,8120,3010,0,0,0,0,0,0,1726,0,0,0,,1.0950662,1285,1289,2015,1682,1909,1033,376664,39.83789266,37.67442601,22.46060149,0.027079838,5.9,460362,18326,6812,841319,54.71907802,2.178246301,0.809680989
8,Wajir,WJR,126878,14.1,63.1,1.6,0.1,0.6,0.9,2.8,15.4,22.8,11.6,11.2,42.2,0.6,0.1,0.3,0,0,2.7,0.3,0.7,0.6,89.5,5.3,0.8,0,68920,16767,44.1,48.2,54.6,51,1.3,0.8,,127932,49.6,1.9,49,1,0.7,0.5,78.2,2.6,1.8,0.6,0.7,0.3,2.2,12.7,0.9,9.4,41.4,9.8,10.8,1.3,0.5,0.2,0.8,7.9,5.9,5.4,4.3,0.1,1,1.2,0,50.8,3,4,36.2,0.5,0.8,2.8,0.4,0.3,0,1.1,0.1,54.2,1.4,6.6,1.2,3.5,2.2,3.1,2.4,2.5,0.8,2.1,27.9,,127932,1.7,3.9,0.3,2.1,21.6,16,10.5,43.6,0.2,5.8,28,0.3,0.6,0.6,11.1,8.8,31.7,1.4,1.9,0.6,0.3,7.2,1.6,63433,7352,3634,856245,2190638,3198284,1176532,123751,0,72071,8816,1080,215,0,0,0,0,0,0,0,0,0,0,,0.881448617,830,1005,1629,1270,1392,760,316483,51.76044211,30.841467,17.38703185,0.011059046,6.1,459863,15446,5799,781214,58.86517651,1.977179108,0.742306205
9,Mandera,MDA,123954,15.7,66.2,1.7,0.2,0.5,1,2.6,26.8,18.1,9.9,8.2,34.1,0.8,0.1,0,0,0,1.9,0.3,0.4,0.4,86,10.4,0.5,0,81531,26639,47.8,51.8,50.4,46.8,1.9,1.4,,125763,49.8,12.2,48.2,1.3,0.9,4.3,78.6,3.1,2.1,0.6,0.3,0.2,1.4,13,0.7,12.7,33.6,10.1,11.8,0.9,0.3,0.2,1.9,8.4,5,6.7,5.4,0.5,0.7,1.8,0,43.1,4.5,4.5,42.2,0.6,0.6,2.6,0.2,0.8,0.1,0.8,0,45,1.5,8.3,1.4,3.5,3.3,6.4,3.2,3,1,2.5,25.3,,125763,1.2,2,0.3,2.8,28.3,23.4,2.4,39.4,0.1,12.6,22.6,7.7,0.6,0.3,6.8,4.1,21.3,1.1,2.3,0.4,0.9,16.7,2.6,62639,5433,2706,1174850,2226033,4898807,1828665,155390,0,151394,23270,54007,5110,0,0,0,0,0,0,2685,0,0,0,,1.387447834,1736,1696,2526,2187,2404,1486,316114,51.24828385,24.69995002,24.02993857,0.021827569,6.9,547776,16327,6429,867420,63.15003113,1.882248507,0.74116345
10,Marsabit,MAR,76689,21.3,51,5.7,0.2,2.7,2.8,1.6,14.2,27.7,15.1,12.6,28.4,0.9,0.1,0,0.1,0.1,0.6,1.1,4.6,0.4,84.8,8.3,0.3,0.1,42316,13679,52.2,56.4,47.2,43.4,0.6,0.3,,77495,50.5,3.4,49.5,0.2,1.7,0.2,65.5,5.6,0.7,0.3,0.1,0,3.2,23.9,0.7,19.5,7.7,20.5,3.6,2.6,0.6,0.4,3.4,5.3,10.9,8.3,5.7,0.2,9.6,1.5,0,31.1,10.5,1.7,43.2,0.2,0.8,0.9,0.1,0.2,0.1,11.4,0,27.8,2.5,14.7,1.6,4.4,1.9,5.6,3,2.2,0.6,0.6,29,,77495,0.1,0.7,0.1,5.1,37,9.3,0.4,47.4,0,1.2,15.7,1.7,1.4,0.9,9.1,18,23.2,0.7,1.2,0.6,2.9,16,7.3,39167,13693,7116,219927,627832,744475,215234,50006,65,21239,3326,1011,95,372,80,0,0,0,0,0,0,0,0,,1.037264527,1137,725,1216,621,619,451,194936,59.28099479,20.97047236,19.71057167,0.037961177,5.8,254103,17214,7441,459767,55.26777694,3.744070366,1.618428465
