District,Total Population,Rural Population,Urban Population,Percent Rural,Percent Urban,Disability Status,Disability Percent,Literacy,Literacy Percent,Population 10 Years and Above,Acccess to Internet,Percent Access to Internet,Total Households,Average Household Size,Total,Electric Iron,Charcoal Iron,Generator,Refridgerator/Freezer,Television,Computer,Radio,Modern Stove,Bed,Mobile Phone,Sofa,Bicycle,Motorcycle,Car,Truck,Boat,Electric Iron Percent,Charcoal Iron Percent,Generator Percent,Fridge Percent,TV Percent,Computer Percent,Radio Percent,Stove Percent,Bed Percent,Mobile Phone Percent,Sofa Percent,Bike Percent,Motorcycle Percent,Car Percent,Truck Percent,Boat Percent,,0-19,20-64,65+,Crop Farming,Mining and Quarrying,Manufacturing,"Wholesale & Retail Trade
Repair of Motor Vehicles
and Motorcycles",Fishing & Aquaculture,Transport and Storage,Other,Total - Industry,Crop Farming Percent,Mining Percent,Manufacturing Percent,Wholeshole Percent,Fishing Percent,Transport Percent,Other,Total Farming Land (Acres),Upland Rice,Lowland Rice,Cassava,Sweet Potato,Groundnut,Maize,Coffee,Cacao,Oil palm,Citrus,Vegetables,Cashew,Upland Rice Percent,Lowland Rice Percent,Cassava Percent,Sweet Potato Percent,Groundnut Percent,Maize Percent,Coffee Percent,Cacao Percent,Oil Palm Percent,Citrus Percent,Vegetables Percent,Cashew Percent
Kailahun,526379,373093,153286,0.708791574,0.291208426,9666,0.018363195,176358,0.335039962,373668,31961,0.085533147,83348,6.3,1265468,69505,375625,103997,130785,250089,73429,834590,79802,1027147,796475,184412,81364,96415,46238,7497,30397,0.054924344,0.296826945,0.082180664,0.103349117,0.197625701,0.058025173,0.659510948,0.063061255,0.811673626,0.629391656,0.145726324,0.064295581,0.076189204,0.036538261,0.00592429,0.024020362,,292154,215908,17586,176227,2090,4730,10986,246,1442,13847,209568,0.840906054,0.009972897,0.02257024,0.052422126,0.001173843,0.006880821,0.066074019,499264,153687,51907,17706,3699,20980,2006,66814,114125,62658,1327,4311,44,0.307827122,0.103967039,0.035464203,0.007408906,0.042021856,0.004017914,0.13382499,0.228586479,0.125500737,0.002657912,0.00863471,8.81297E-05
Kenema,609891,338192,271699,0.5545122,0.4454878,9155,0.015010879,207979,0.341010115,435624,64566,0.148214974,111734,5.5,83348,244,15068,2018,524,1764,1074,56585,1949,67960,43935,20194,4538,5925,564,140,440,0.002927485,0.180784182,0.024211739,0.006286894,0.021164275,0.012885732,0.678900514,0.023383884,0.815376494,0.527127226,0.242285358,0.054446417,0.071087489,0.006766809,0.001679704,0.005279071,,324641,263964,20439,160185,11371,7004,30056,1278,4916,29709,244519,0.655102466,0.046503544,0.028643991,0.122918873,0.005226588,0.020104777,0.121499761,350338,140173,32238,17327,3027,13922,1974,34236,58086,43126,1104,4745,379,0.400107896,0.092019707,0.049457952,0.008640227,0.039738767,0.005634559,0.097722771,0.165799885,0.123098265,0.003151243,0.013544063,0.001081812
Kono,506100,381438,124662,0.753681091,0.246318909,6756,0.01334914,169798,0.335502865,358128,22043,0.061550619,86119,5.9,111734,2084,29427,6722,5575,14586,3750,77297,3770,97310,68173,12519,6411,10177,2160,493,758,0.01865144,0.263366567,0.060160739,0.049895287,0.130542181,0.033561852,0.691794798,0.033740849,0.870907691,0.610136574,0.112042888,0.057377343,0.091082392,0.019331627,0.004412265,0.006783969,,276886,212719,15811,136675,17662,6607,16512,810,2417,22499,203182,0.672672776,0.086926992,0.032517644,0.081267041,0.003986574,0.011895739,0.110733234,320988,107128,52270,19241,4154,18632,3835,61651,43231,5688,947,3604,608,0.333744564,0.162840978,0.059943051,0.012941294,0.058045784,0.011947487,0.19206637,0.134681047,0.017720289,0.002950266,0.011227834,0.001894152
Bombali,606544,433486,173058,0.71468187,0.28531813,8797,0.014503482,195482,0.322288243,423778,49397,0.116563389,105902,5.7,86119,611,18458,3955,1730,4650,1948,51097,3291,65605,46172,6872,3326,6417,1091,266,452,0.007094834,0.214331332,0.045924825,0.020088482,0.053995053,0.022619863,0.593330159,0.038214564,0.761794726,0.53614185,0.079796561,0.038620978,0.074513174,0.012668517,0.003088749,0.005248551,,328314,253284,23993,149734,3931,6907,31735,1005,4838,32940,231090,0.647946687,0.017010688,0.029888788,0.137327448,0.004348955,0.020935566,0.142541867,196812,77478,45264,15388,3912,41849,953,38,112,7270,405,3829,316,0.39366502,0.229985976,0.078186289,0.019876837,0.212634392,0.004842184,0.000193078,0.000569071,0.036938805,0.002057801,0.019455115,0.001605593
Kambia,345474,244630,100844,0.708099596,0.291900404,4489,0.012993742,90046,0.260644795,229379,15087,0.06577324,53826,6.4,105902,4972,24085,3857,8541,15761,4710,62246,4098,78348,60109,7718,8385,9828,2501,566,640,0.046949066,0.227427244,0.036420464,0.080650035,0.148826273,0.044475081,0.587769825,0.038696153,0.739816056,0.567590791,0.072878699,0.079176975,0.09280278,0.023616173,0.005344564,0.006043323,,193880,137302,13543,99101,315,2994,22344,4598,1933,32940,141129,0.702201532,0.002232001,0.021214633,0.158323236,0.032580122,0.013696689,0.233403482,196593,39250,106041,10216,3547,18595,991,267,129,9815,531,6312,900,0.199651056,0.539393569,0.051965228,0.018042351,0.094586277,0.005040871,0.001358136,0.000656178,0.049925481,0.002701012,0.032106942,0.004577986
Koinadagu,409372,335847,73525,0.82039563,0.17960437,4125,0.01007641,113709,0.277764478,281559,13209,0.046913791,56108,7.3,53826,266,12482,2940,837,2867,1029,37433,1651,44987,35517,2351,4810,5895,912,189,3505,0.00494185,0.231895367,0.054620444,0.015550106,0.053264222,0.019117155,0.695444581,0.030672909,0.83578568,0.6598484,0.043677777,0.089362018,0.109519563,0.016943485,0.003511314,0.06511723,,240362,158120,10515,150405,3953,4318,9674,337,1104,14525,184316,0.816017058,0.021446863,0.023427158,0.052485948,0.001828382,0.005989713,0.078804879,252895,107047,67928,9958,2762,36750,2000,7964,2310,7978,396,7777,27,0.423286344,0.268601594,0.039376026,0.010921529,0.145317227,0.00790842,0.03149133,0.009134226,0.031546689,0.001565867,0.030751893,0.000106764
Port Loko,615376,455159,160217,0.73964373,0.26035627,9050,0.014706456,180636,0.29353761,419890,48126,0.114615733,111701,5.5,56108,170,10061,1659,523,1695,840,29357,1305,42696,20946,2291,3275,6303,536,154,292,0.003029871,0.179314893,0.029567976,0.009321309,0.030209596,0.014971127,0.52322307,0.023258715,0.760961004,0.373315748,0.040831967,0.058369573,0.112336922,0.009553005,0.002744707,0.005204249,,332871,257629,23869,145791,1784,5149,44541,7918,5540,27727,238450,0.611411197,0.007481652,0.021593625,0.186793877,0.033206123,0.023233382,0.116280143,310294,101556,78774,44779,8929,35404,3563,196,478,25101,1221,9405,888,0.327289603,0.253868911,0.144311524,0.028775935,0.114098242,0.011482658,0.000631659,0.001540475,0.080894249,0.003934978,0.030309964,0.002861802
Tonkolili,531435,424105,107330,0.798037389,0.201962611,6388,0.012020285,142004,0.267208596,355310,23472,0.066060623,86840,6.1,111701,1629,25819,6799,4259,9976,3062,67890,3983,85700,62283,7247,9546,8870,2133,415,3918,0.014583576,0.231143857,0.060867853,0.038128575,0.089309854,0.027412467,0.607783279,0.035657693,0.767226793,0.557586772,0.06487856,0.085460291,0.079408421,0.019095621,0.003715276,0.035075783,,300821,213601,16223,160394,13464,5008,18722,2427,2202,16060,218277,0.734818602,0.061683091,0.022943324,0.085771749,0.011118899,0.010088099,0.073576236,263734,99323,37434,30967,3631,46291,3939,580,632,34636,1049,4896,357,0.376602941,0.141938468,0.11741755,0.01376766,0.175521548,0.014935503,0.002199186,0.002396354,0.131329294,0.003977492,0.018564159,0.001353637
Bo ,575478,380397,195081,0.661010499,0.338989501,9335,0.016221298,207926,0.361310076,406442,46179,0.113617687,102723,5.6,86840,468,11796,2274,1229,3392,1368,45458,2162,56183,38089,7329,4691,5184,878,181,628,0.005389222,0.13583602,0.026186089,0.014152464,0.039060341,0.015753109,0.523468448,0.024896361,0.646971442,0.438611239,0.084396591,0.054018885,0.059695993,0.010110548,0.002084293,0.00723169,,306575,245887,21816,125404,8947,6854,30111,2134,4990,35407,213847,0.586419262,0.041838324,0.032050952,0.140806277,0.009979097,0.02333444,0.165571647,287375,121460,16463,40379,3981,16782,1972,15504,11715,53799,718,4398,201,0.422653328,0.057287516,0.140509787,0.01385298,0.058397564,0.006862114,0.053950413,0.04076555,0.187208351,0.002498478,0.015304045,0.000699435
Bonthe,200781,162796,37985,0.810813772,0.189186228,2726,0.013576982,56803,0.282910236,138265,10528,0.076143637,32538,6.2,102723,3694,28456,8712,8290,17069,5031,68158,4242,86068,61840,18240,7041,8993,3065,625,1154,0.035960788,0.277016832,0.084810607,0.080702472,0.166165318,0.048976373,0.663512553,0.041295523,0.837864938,0.60200734,0.177564908,0.068543559,0.087546119,0.029837524,0.006084324,0.011234096,,109852,82881,7600,50117,1164,1655,5293,13192,821,7067,79309,0.631920715,0.014676771,0.020867745,0.066738958,0.166336734,0.010351915,0.089107163,127605,17644,21151,45063,2640,6276,330,222,353,16577,359,16801,190,0.138270444,0.165753693,0.353144469,0.020688844,0.049183026,0.002586106,0.001739744,0.002766349,0.129908703,0.002813369,0.13166412,0.00148897
