Id,District,Kerosene - Lighting,Gas - Lighting,EDSA - Lighting,Generator - Lighting,Solar Panel- Lighting,Battery - Lighting,Candles - Lighting,Firewood - Lighting,Other - Lighting,Firewood - Cooking,Charcoal - Cooking,Kerosene - Cooking,Gas - Cooking,Electricity - Cooking,Saw Dust/Crop Residue - Cooking,Animal Waste - Cooking,Thatch - Roofing,Iron Sheet - Roofing,Cement/Concrete - Roofing,Tiles - Roofing,Tarpaulin - Roofing,Mud and Wattle - Walls,Mud Brick with Cement - Walls,Wooden Boards - Walls,Iron Sheet - Walls,Cement Block - Walls,Others - Walls,Earth/Mud - Flooring,Tile - Flooring,Wood - Flooring,Concrete/Cement - Flooring,Stone - Flooring,Piped Sewer System - Toilet,Septic Tank - Toilet,Pit Latrine - Toilet,Flush Elsewhere - Toilet,Ventilated Improved Pit Latrine (VIP) - Toilet,Pit Latrine with Slab - Toilet,Open Pit Latrine - Toilet,Composting Toilet - Toilet,Hanging Toilet - Toilet,No Facility - Toilet,Other - Toilet,Piped,Tube Well,Protected Dug Well,Unprotected Dug Well,Protected Spring,Unprotected Spring,Rainwater,Surface Water,Bottle/Satchet Water,River/Stream,Other,Cattle,Sheep,Goats,Pigs,Chickens,Ducks,Other Poultry,Other Livestock,Farmed Fish,Total Population,Percent Rural,Percent Urban,Disability Percent,Literacy Percent,Population 10 Years and Above,Percent Access to Internet,Total Households,Average Household Size,Total,Electric Iron Percent,Charcoal Iron Percent,Generator Percent,Fridge Percent,TV Percent,Computer Percent,Radio Percent,Stove Percent,Bed Percent,Mobile Phone Percent,Sofa Percent,Bike Percent,Motorcycle Percent,Car Percent,Truck Percent,Boat Percent,,0-19,20-64,65+,Total - Industry,Crop Farming Percent,Mining Percent,Manufacturing Percent,Wholesale Percent,Fishing Percent,Transport Percent,Other,Total Farming Land (Acres),Upland Rice Percent,Lowland Rice Percent,Cassava Percent,Sweet Potato Percent,Groundnut Percent,Maize Percent,Coffee Percent,Cacao Percent,Oil Palm Percent,Citrus Percent,Vegetables Percent,Cashew Percent
1,Pujehun ,0.3,0,0,0.1,15.9,83.5,0,0.1,0.1,98.2,1.8,0,0,0,0,0,34.9,65.1,0,0,0,69.8,26.8,0,0,3.4,0.1,63.3,1.9,0,34.8,0,0.2,0.2,0,0,1,32.5,22.1,0,2.1,41.8,0.2,3,40.8,18.8,11.6,5,2.1,0,0.4,0,18.3,0,0,"3,531","7,065",0,"33,378","3,078",0,0,0,346461,91.8845123,8.1154877,1.3978485,29.3776211,240852,7.6499261,51514,6.7,61880,0.5769231,13.8914027,4.0707822,1.3106012,3.749192,1.564318,55.0355527,2.7504848,83.5229476,45.8080155,5.1680672,4.6751778,5.1664512,0.8209438,0.2569489,4.4634777,345962,56.99383169,39.92114741,3.085020898,126414,75.5636243,2.3264828,2.4158717,5.7145569,5.1774329,0.8717389,7.9302925,200489,38.0783983,10.3970791,21.0206046,1.2843597,6.5898877,0.5696073,1.7402451,1.7621914,15.4811486,0.1805585,2.8295817,0.0673354
2,Port Loko ,4.1,0,11.6,0,0.5,83.6,0,0,0.1,82,18,0,0,0,0,0,7,89.9,3,0.1,0.1,44.9,41,0,3.1,11.1,0,45.1,9.4,0,45.5,0,0,2.8,2,0,0.7,27.1,32.8,0.3,18.4,15.8,0.1,2.2,30.1,15.4,13.9,1.4,5.6,0,0,2.9,28.4,0.2,"1,625","21,719","27,137","1,023","76,945","11,253",120,0,0,615376,73.964373,26.035627,1.4706456,29.353761,419890,11.4615733,111701,5.5,56108,0.3029871,17.9314893,2.9567976,0.9321309,3.0209596,1.4971127,52.322307,2.3258715,76.0961004,37.3315748,4.0831967,5.8369573,11.2336922,0.9553005,0.2744707,0.5204249,614369,32.09423001,22.48030093,1.73722958,238450,61.1411197,0.7481652,2.1593625,18.6793877,3.3206123,2.3233382,11.6280143,310294,32.7289603,25.3868911,14.4311524,2.8775935,11.4098242,1.1482658,0.0631659,0.1540475,8.0894249,0.3934978,3.0309964,0.2861802
3,Bonthe ,0.5,0.1,2.7,0.1,2.5,94.1,0,0,0.1,87.1,12.8,0.1,0,0,0,0,30.5,57.8,11.8,0,0,48.1,40.2,0,0,11.2,0.5,58,0.5,0,41.4,0,0,1.1,14,0,2,1.5,9.9,11.9,0,59.5,0,1.1,22.6,12.1,24.5,0.8,6.9,0.7,0,2,29.1,0,147,"7,210","13,475",588,"27,286","1,974",0,266,0,200781,81.0813772,18.9186228,1.3576982,28.2910236,138265,7.6143637,32538,6.2,102723,3.5960788,27.7016832,8.4810607,8.0702472,16.6165318,4.8976373,66.3512553,4.1295523,83.7864938,60.200734,17.7564908,6.8543559,8.7546119,2.9837524,0.6084324,1.1234096,200333,98.424623,68.94121288,5.327629497,79309,63.1920715,1.4676771,2.0867745,6.6738958,16.6336734,1.0351915,8.9107163,127605,13.8270444,16.5753693,35.3144469,2.0688844,4.9183026,0.2586106,0.1739744,0.2766349,12.9908703,0.2813369,13.166412,0.148897
4,Bo ,1.1,0,17.5,1.6,6.5,71.6,0,1.7,0,81,19,0,0.1,0,0,0,13.5,79.4,7.1,0.1,0,46.1,34.6,0.2,0.1,19,0,49.6,4.3,0.1,46.1,0,0.7,3.9,8,0.2,3.5,27.1,11.4,0,11.2,33.9,0,6.5,22.4,31,3.7,0.7,3,0.2,0.8,3,28.7,0,98,"6,688","14,304","1,060","63,016","7,830",212,0,0,575478,66.1010499,33.8989501,1.6221298,36.1310076,406442,11.3617687,102723,5.6,86840,0.5389222,13.583602,2.6186089,1.4152464,3.9060341,1.5753109,52.3468448,2.4896361,64.6971442,43.8611239,8.4396591,5.4018885,5.9695993,1.0110548,0.2084293,0.723169,574278,34.3347647,24.04967629,1.858507552,213847,58.6419262,4.1838324,3.2050952,14.0806277,0.9979097,2.333444,16.5571647,287375,42.2653328,5.7287516,14.0509787,1.385298,5.8397564,0.6862114,5.3950413,4.076555,18.7208351,0.2498478,1.5304045,0.0699435
5,Kambia ,4.7,0.1,0,0,13.1,81.9,0.1,0.1,0,91.1,8.9,0,0,0,0,0,5.2,94.9,0,0,0,41.7,48.3,0,0,10.1,0,53.7,0.5,0,45.9,0,0,0,2.4,0.5,1,32.2,39.7,4.3,0,20,0,6.1,2.4,21.4,26.7,7.2,18.2,0,0,0,18.1,0,"2,586","17,748","22,368",282,"50,430","9,144",0,0,0,345474,70.8099596,29.1900404,1.2993742,26.0644795,229379,6.577324,53826,6.4,105902,4.6949066,22.7427244,3.6420464,8.0650035,14.8826273,4.4475081,58.7769825,3.8696153,73.9816056,56.7590791,7.2878699,7.9176975,9.280278,2.3616173,0.5344564,0.6043323,344725,57.19834651,40.06439916,3.096091087,141129,70.2201532,0.2232001,2.1214633,15.8323236,3.2580122,1.3696689,23.3403482,196593,19.9651056,53.9393569,5.1965228,1.8042351,9.4586277,0.5040871,0.1358136,0.0656178,4.9925481,0.2701012,3.2106942,0.4577986
6,Kailahun ,2.1,0,0,0.2,19.8,77.9,0,0,0,97.9,2.1,0,0,0,0.1,0,5,94.8,0.2,0,0,61.8,31.7,0.1,0.3,6.1,0,70.6,0.1,0,29.3,0,0.6,0.3,0.7,0,0.2,62.5,4.9,0,0.3,30.5,0,8.9,40.1,9.8,21.8,0,11.4,0.3,0,0,7.8,0,273,"4,404","10,938","1,110","39,788","4,525",273,188,188,526379,70.8791574,29.1208426,1.8363195,33.5039962,373668,8.5533147,83348,6.3,1265468,5.4924344,29.6826945,8.2180664,10.3349117,19.7625701,5.8025173,65.9510948,6.3061255,81.1673626,62.9391656,14.5726324,6.4295581,7.6189204,3.6538261,0.592429,2.4020362,525648,37.51122424,26.27461723,2.03044623,209568,84.0906054,0.9972897,2.257024,5.2422126,0.1173843,0.6880821,6.6074019,499264,30.7827122,10.3967039,3.5464203,0.7408906,4.2021856,0.4017914,13.382499,22.8586479,12.5500737,0.2657912,0.863471,8.81E-03
7,Koinadugu ,0,0.05,0,0.25,8.45,88.9,0,2.3,0,92.9,7.1,0,0,0,0,0,25.2,73.85,0.8,0,0.15,59.7,34.75,0.45,0.05,2.8,2.3,66.15,2.5,0.1,31.35,0,0.2,0.35,1.15,0,3.05,60.2,8.6,0,23.3,3.2,0,3.75,11.8,30.45,5.85,0.6,21.35,0,0.9,0.75,24.6,0,15104,22283,32967,349,47723,2476,216,0,0,409372,82.039563,17.960437,1.007641,27.7764478,281559,4.6913791,56108,7.3,53826,0.494185,23.1895367,5.4620444,1.5550106,5.3264222,1.9117155,69.5444581,3.0672909,83.578568,65.98484,4.3677777,8.9362018,10.9519563,1.6943485,0.3511314,6.511723,408997,48.20988907,33.76846285,2.609554593,184316,81.6017058,2.1446863,2.3427158,5.2485948,0.1828382,0.5989713,7.8804879,252895,42.3286344,26.8601594,3.9376026,1.0921529,14.5317227,0.790842,3.149133,0.9134226,3.1546689,0.1565867,3.0751893,0.0106764
8,Bombali ,0.75,0.05,12.8,0,2.65,83.5,0.1,0.05,0.15,79.05,20,0,0,0,0,0.9,7.4,91.5,0.55,0.55,0,48.1,39.35,1.4,0.15,11,0,52.3,2.2,1.7,42.85,1,0.75,0.75,1.15,0.25,0.5,36.05,39.65,3.05,8.6,8.4,0.8,0.8,32,17.8,14.95,1.45,11.4,0,1.15,2.05,18.05,0.35,2388,12740,23099,717,58200,3359,8828,296,0,606544,71.468187,28.531813,1.4503482,32.2288243,423778,11.6563389,105902,5.7,86119,0.7094834,21.4331332,4.5924825,2.0088482,5.3995053,2.2619863,59.3330159,3.8214564,76.1794726,53.614185,7.9796561,3.8620978,7.4513174,1.2668517,0.3088749,0.5248551,605591,32.55943368,22.80615135,1.762410604,231090,64.7946687,1.7010688,2.9888788,13.7327448,0.4348955,2.0935566,14.2541867,196812,39.366502,22.9985976,7.8186289,1.9876837,21.2634392,0.4842184,0.0193078,0.0569071,3.6938805,0.2057801,1.9455115,0.1605593
9,Moyamba ,0.6,2.6,0.1,0.1,3.9,92.4,0,0.1,0.2,97,3.1,0,0,0,0,0,37.3,61.8,0.9,0,0,75,14.1,0.1,0.1,7.1,3.6,85.7,0.5,0,13.8,0,0,1.6,6.4,0,1.3,8.5,20.6,4.7,11.5,44.4,0.9,0.5,15.8,10,34.9,0,7,0.5,2.3,0,29,0,0,"5,515","14,135","2,910","40,115","3,470",280,"5,600",280,318588,92.8757518,7.1242482,1.8412495,27.2210504,216236,5.5962004,61880,5.1,32538,0.4978794,16.1780073,4.6560944,1.1801586,4.1244084,1.8378511,60.9963735,2.5232036,89.0189932,54.437888,6.5093122,5.8423997,5.5596533,0.7375991,0.307333,24.0641711,317804,62.04358661,43.45823212,3.35835924,139611,78.8834691,0.9533633,2.0191819,5.3505813,4.4459247,0.8287313,7.5187485,210347,41.2109514,12.5787389,21.2035351,1.8498006,13.1554051,2.4768597,0.2552924,0.4145531,4.3081194,0.4235858,2.085126,0.0380324
10,Kenema ,0.3,0,15,1.2,14.4,69.1,0,0.1,0,82.9,17.1,0,0,0,0,0,12.3,87.4,0.3,0,0.1,54.9,29.6,0,3.4,12.1,0,54.1,3.6,0.1,42.2,0,0.5,2.1,3.3,0,1.7,57,14.1,0,4,17.3,0,21,38.6,28.6,1.9,0.3,0.2,0,0,1.7,7.8,0,149,"4,884","11,563",298,"54,454","3,554",0,149,0,609891,55.45122,44.54878,1.5010879,34.1010115,435624,14.8214974,111734,5.5,83348,0.2927485,18.0784182,2.4211739,0.6286894,2.1164275,1.2885732,67.8900514,2.3383884,81.5376494,52.7127226,24.2285358,5.4446417,7.1087489,0.6766809,0.1679704,0.5279071,609044,32.37483663,22.67685093,1.752418544,244519,65.5102466,4.6503544,2.8643991,12.2918873,0.5226588,2.0104777,12.1499761,350338,40.0107896,9.2019707,4.9457952,0.8640227,3.9738767,0.5634559,9.7722771,16.5799885,12.3098265,0.3151243,1.3544063,0.1081812
