District,Electricity - Lighting,Gas - Lighting,Paraffin-Lantern - Lighting,Paraffin-Tadooba - Lighting,Candles - Lighting,Firewood - Lighting,Other - Lighting,Total - Lighting,Rural - Households & Non-Households,Urban - Households & Non-Households,Total - Households & Non-Households,Population in 2002,Population in 2014,Total Households,Population Growth Rate 2002-2014,Population Density,Urbanization Level,Average Household Size,Without a Disability,With a Disability,Seeing - Disability,Hearing - Disability,Remembering - Disability,Walking - Disability,Electricity - Cooking,Gas - Cooking,Paraffin-Stove - Cooking,Charcoal - Cooking,Firewood - Cooking,Others - Cooking,Total - Cooking
Buikwe,"26,984",383,"12,170","49,111","4,424",537,"4,324","97,933","214,149","208,622","422,771",329.9,422.8,"97,933",2.1,350,49.3,4.2,"350,347","46,583","24,071","11,655","19,421","21,233","2,481",444,881,"36,107","56,409","1,046","97,933"
Bukomansimbi,"5,194",100,"4,015","22,539",537,259,"1,691","34,335","138,588","12,825","151,413",139.6,151.4,"34,335",0.7,252,8.5,4.4,"126,904","16,976","9,828","4,738","6,793","7,326",521,73,334,"3,118","29,691",376,"34,335"
Butambala,"4,081",79,"3,532","12,468",814,153,474,"21,601","85,603","15,237","100,840",86.8,100.8,"21,601",1.3,249,15.1,4.6,"89,472","5,943","3,406","1,703","1,927","2,397",431,53,308,"4,444","16,184",160,"21,601"
Buvuma,"1,825",76,"1,356","14,951","1,063",221,"5,692","25,184","79,954","9,936","89,890",42.5,89.9,"25,184",6.3,305,11.1,3.4,"64,018","17,117","6,858","3,401","10,449","5,550",133,51,184,"10,267","13,561",739,"25,184"
Gomba,"4,656",162,"2,990","24,041",772,305,"2,359","35,285","147,483","12,439","159,922",133.3,159.9,"35,285",1.5,96,7.8,4.5,"131,481","19,089","10,219","5,335","8,092","8,284",619,101,269,"4,142","29,788",296,"35,285"
Kalangala,"2,751",41,"2,939","9,172","1,299",103,"3,795","20,100","49,313","4,980","54,293",34.8,54.3,"20,100",3.7,120,9.2,2.5,"40,011","7,447","3,520","1,464","3,265","2,571",182,45,509,"11,655","7,225",484,"20,100"
Kalungu,"8,166",203,"5,233","25,672",795,274,"1,094","41,437","151,095","32,137","183,232",160.7,183.2,"41,437",1.1,225,4.4,4.3,"148,174","22,331","12,546","5,786","9,719","10,480",742,129,635,"6,868","32,432",444,"41,437"
Kampala,"349,178","1,183","19,409","11,511","29,114",95,"5,604","416,094",0,"1,507,080","1,507,080",1189.1,1507.1,"416,070",2,7928,100,3.5,"1,336,173","91,781","59,067","15,191","21,567","26,207","33,792","22,802","17,947","321,686","10,612","7,726","416,094"
Kayunga,"11,395",250,"6,675","51,351","2,090",678,"3,634","76,073","340,974","27,088","368,062",294.6,368.1,"76,073",1.9,231,7.4,4.8,"309,780","39,783","21,633","10,853","16,223","16,935",891,172,509,"14,594","59,197",449,"76,073"
Kiboga,"5,441",128,"3,759","18,551","1,334",361,"4,498","34,072","114,698","33,520","148,218",108.9,148.2,"34,072",2.6,93,22.6,4.2,"116,457","20,277","10,545","5,224","9,705","8,975",408,86,303,"8,086","24,765",377,"34,072"
